Longitude,Latitude,LineStringColor,Icon
-73.631278,45.415773,blue,none
-73.631748,45.415826,blue,none
-73.632242,45.415915,blue,none
-73.632436,45.415995,blue,none
-73.632286,45.416333,blue,none
-73.632014,45.416945,blue,none
-73.632016,45.41696,blue,none
-73.632033,45.416969,blue,none
-73.632546,45.417046,blue,none
-73.632918,45.417103,blue,none
-73.633856,45.417111,blue,none
-73.634344,45.417056,blue,none
-73.635238,45.416956,blue,none
-73.636034,45.416869,blue,none
-73.636068,45.416865,blue,none
-73.636257,45.416847,blue,none
-73.637302,45.416818,blue,none
-73.638336,45.416889,blue,none
-73.638603,45.416916,blue,none
-73.63948,45.417001,blue,none
-73.639613,45.417014,blue,none
-73.640494,45.41713,blue,none
-73.641449,45.417352,blue,none
-73.643061,45.41772,blue,none
-73.64371,45.417862,blue,none
-73.644007,45.417926,blue,none
-73.644031,45.417928,blue,none
-73.644044,45.417915,blue,none
-73.644307,45.417306,blue,none
-73.645393,45.41799,blue,none
-73.646303,45.418565,blue,none
-73.647354,45.419193,blue,none
-73.64761,45.419338,blue,none
-73.648045,45.419589,blue,none
-73.648366,45.41977,blue,none
-73.648679,45.419914,blue,none
-73.648815,45.419977,blue,none
-73.649494,45.420282,blue,none
-73.650226,45.42057,blue,none
-73.65145,45.420955,blue,none
-73.651566,45.420992,blue,none
-73.651271,45.421743,blue,none
-73.650991,45.422399,blue,none
-73.650857,45.422682,blue,none
-73.650661,45.423092,blue,none
-73.65033,45.423741,blue,none
-73.65,45.424552,blue,none
-73.649873,45.424839,blue,none
-73.6497,45.425208,blue,none
-73.649255,45.425365,blue,none
-73.649044,45.425439,blue,none
-73.648976,45.425364,blue,none
-73.648912,45.425247,blue,none
-73.648907,45.425243,blue,none
-73.648903,45.425239,blue,none
-73.64866,45.425122,blue,none
-73.648467,45.425041,blue,none
-73.648462,45.42504,blue,none
-73.648453,45.425039,blue,none
-73.64835,45.425039,blue,none
-73.648342,45.42504,blue,none
-73.648335,45.425043,blue,none
-73.648282,45.425073,blue,none
-73.648176,45.425201,blue,none
-73.648099,45.425319,blue,none
-73.647985,45.425472,blue,none
-73.647981,45.425477,blue,none
-73.647981,45.425481,blue,none
-73.647981,45.4255,blue,none
