Longitude,Latitude,LineStringColor,Icon
-73.577669,45.480095,blue,none
-73.577599,45.480219,blue,none
-73.577372,45.480469,blue,none
-73.577232,45.480585,blue,none
-73.577223,45.480597,blue,none
-73.577225,45.48061,blue,none
-73.577276,45.480745,blue,none
-73.577279,45.480751,blue,none
-73.577282,45.480754,blue,none
-73.577772,45.481202,blue,none
-73.577772,45.481201,blue,none
-73.577869,45.481291,blue,none
-73.578251,45.481917,blue,none
-73.578597,45.482493,blue,none
-73.578914,45.482991,blue,none
-73.578969,45.483078,blue,none
-73.579347,45.483702,blue,none
-73.579443,45.48386,blue,none
-73.579841,45.484499,blue,none
-73.580033,45.484814,blue,none
-73.580477,45.485513,blue,none
-73.580478,45.485513,blue,none
-73.58056,45.485643,blue,none
-73.581433,45.486795,blue,none
-73.581627,45.487013,blue,none
-73.581821,45.487186,blue,none
-73.582231,45.487501,blue,none
-73.582937,45.488064,blue,none
-73.582451,45.488196,blue,none
-73.582012,45.488351,blue,none
-73.581549,45.488568,blue,none
-73.581473,45.488604,blue,none
-73.580666,45.489001,blue,none
-73.580116,45.489289,blue,none
-73.579234,45.489731,blue,none
-73.578502,45.490138,blue,none
-73.578214,45.49036,blue,none
-73.578213,45.49036,blue,none
-73.577936,45.490574,blue,none
-73.577449,45.491106,blue,none
-73.576874,45.491692,blue,none
-73.576552,45.492065,blue,none
-73.57644,45.492197,blue,none
-73.575711,45.492934,blue,none
-73.575028,45.493658,blue,none
-73.575027,45.493658,blue,none
-73.574919,45.493771,blue,none
-73.574229,45.494465,blue,none
-73.573685,45.495043,blue,none
-73.573526,45.495212,blue,none
-73.573015,45.495734,blue,none
-73.572236,45.496537,blue,none
-73.571592,45.49722,blue,none
-73.571506,45.497311,blue,none
-73.570962,45.497891,blue,none
-73.570855,45.498004,blue,none
-73.570243,45.49867,blue,none
-73.569604,45.499328,blue,none
-73.569035,45.499958,blue,none
-73.569036,45.499958,blue,none
-73.568939,45.500066,blue,none
-73.568032,45.501011,blue,none
-73.567303,45.501776,blue,none
-73.567188,45.501894,blue,none
-73.56681,45.502327,blue,none
-73.566676,45.50248,blue,none
-73.566484,45.502697,blue,none
-73.566266,45.503012,blue,none
-73.565673,45.503783,blue,none
-73.565346,45.504209,blue,none
-73.564593,45.505163,blue,none
-73.564146,45.505694,blue,none
-73.563839,45.50609,blue,none
-73.563591,45.506367,blue,none
-73.562459,45.507637,blue,none
-73.561781,45.508385,blue,none
-73.561531,45.508688,blue,none
-73.561462,45.508772,blue,none
-73.56104,45.50924,blue,none
-73.560324,45.510052,blue,none
-73.559964,45.510566,blue,none
-73.55989,45.510672,blue,none
-73.559468,45.51113,blue,none
-73.558956,45.511698,blue,none
-73.558175,45.512567,blue,none
-73.5581,45.512652,blue,none
-73.557831,45.51294,blue,none
-73.557499,45.5133,blue,none
-73.557422,45.513392,blue,none
-73.557294,45.513543,blue,none
-73.556962,45.513903,blue,none
-73.556639,45.514262,blue,none
-73.55654,45.514371,blue,none
-73.555544,45.515488,blue,none
-73.555135,45.51592,blue,none
-73.554827,45.51626,blue,none
-73.554713,45.516387,blue,none
-73.554268,45.516834,blue,none
-73.553783,45.517212,blue,none
-73.553245,45.517601,blue,none
-73.552769,45.518026,blue,none
-73.552167,45.518693,blue,none
-73.552013,45.518856,blue,none
-73.551617,45.519278,blue,none
-73.551003,45.519944,blue,none
-73.550378,45.52061,blue,none
-73.549841,45.521177,blue,none
-73.549726,45.521311,blue,none
-73.549636,45.521392,blue,none
-73.549521,45.521528,blue,none
-73.549061,45.522014,blue,none
-73.5490591,45.5220255,blue,none
-73.5490665,45.5220377,blue,none
-73.5492469,45.5221223,blue,none
-73.5516971,45.5232782,blue,none
-73.551447,45.523549,blue,none
-73.551378,45.523624,blue,none
-73.550676,45.52447,blue,none
-73.550458,45.524684,blue,none
-73.55033,45.524811,blue,none
-73.549138,45.526054,blue,none
-73.549051,45.526145,blue,none
-73.5482,45.527058,blue,none
-73.548104,45.527162,blue,none
-73.547114,45.528216,blue,none
-73.547055,45.528278,blue,none
-73.546377,45.529034,blue,none
-73.546245,45.529177,blue,none
-73.546019,45.529421,blue,none
-73.545533,45.52998,blue,none
-73.545528,45.530001,blue,none
-73.545545,45.530017,blue,none
-73.546019,45.530215,blue,none
-73.546506,45.530425,blue,none
-73.546621,45.530476,blue,none
-73.547006,45.530646,blue,none
-73.548323,45.531195,blue,none
-73.548453,45.531249,blue,none
-73.54885,45.53142,blue,none
-73.549736,45.531807,blue,none
-73.5499,45.531878,blue,none
-73.551874,45.532721,blue,none
